ROTATION,DATE,TTL ROTN CRED,DOM TAFB,INTL TAFB,FLT PAY,NIGHT PAY,INTL PAY,LANG PAY,LAYOVER STN,LAYOVER TIME,LAYOVER HOTEL,LEG STATUS,FLT #,EQUIP,DEPT DATE,DEPT,DEPT TIME,ARRV,ARRV TIME,LEG BLOCK TIME
2384,12JAN2020,00510,00640,00000,00510,00000,00510,00000,   ,00000,                    , ,0515,739,12JAN2020,MSP,0535,CUN,0843,0251
2384,12JAN2020,00510,00640,00000,00510,00000,00510,00000,   ,00000,                    , ,0516,739,12JAN2020,CUN,0905,MSP,1090,0259
5808,13JAN2020,00570,00701,00000,00570,00000,00570,00000,   ,00000,                    , ,0451,319,13JAN2020,MSP,0536,MEX,0849,0313
5808,13JAN2020,00570,00701,00000,00570,00000,00570,00000,   ,00000,                    , ,0452,319,13JAN2020,MEX,0896,MSP,1136,0257
2416,17JAN2020,00518,00666,00000,00518,00000,00518,00000,   ,00000,                    , ,0499,739,17JAN2020,MSP,0616,CUN,0907,0244
2416,17JAN2020,00518,00666,00000,00518,00000,00518,00000,   ,00000,                    , ,0424,739,17JAN2020,CUN,0973,MSP,1187,0274
2387,18JAN2020,00593,00727,00000,00593,00000,00593,00000,   ,00000,                    , ,0720,738,18JAN2020,MSP,0540,MBJ,0894,0294
2387,18JAN2020,00593,00727,00000,00593,00000,00593,00000,   ,00000,                    , ,0814,738,18JAN2020,MBJ,0944,MSP,1177,0299
2407,20JAN2020,00503,00630,00000,00503,00000,00000,00000,   ,00000,                    , ,1689,739,20JAN2020,MSP,0575,SJC,0735,0280
2407,20JAN2020,00503,00630,00000,00503,00000,00000,00000,   ,00000,                    , ,1689,739,20JAN2020,SJC,0806,MSP,1131,0223
2322,21JAN2020,00672,00816,00000,00672,00000,00672,00000,   ,00000,                    , ,0379,738,21JAN2020,MSP,0439,LIR,0737,0337
2322,21JAN2020,00672,00816,00000,00672,00000,00672,00000,   ,00000,                    , ,0699,738,21JAN2020,LIR,0831,MSP,1166,0335
2387,24JAN2020,00589,00744,00000,00589,00000,00589,00000,   ,00000,                    , ,0720,738,24JAN2020,MSP,0537,MBJ,0878,0289
2387,24JAN2020,00589,00744,00000,00589,00000,00589,00000,   ,00000,                    , ,0814,738,24JAN2020,MBJ,0954,MSP,1194,0300
2423,25JAN2020,00506,00636,00000,00506,00000,00506,00000,   ,00000,                    , ,0624,320,25JAN2020,MSP,0673,CUN,0974,0243
2423,25JAN2020,00506,00636,00000,00506,00000,00506,00000,   ,00000,                    , ,0619,320,25JAN2020,CUN,1037,MSP,1226,0263
5808,27JAN2020,00547,00691,00000,00547,00000,00547,00000,   ,00000,                    , ,0451,319,27JAN2020,MSP,0519,MEX,0783,0280
5808,27JAN2020,00547,00691,00000,00547,00000,00547,00000,   ,00000,                    , ,0452,319,27JAN2020,MEX,0859,MSP,1126,0267
2412,30JAN2020,00539,00677,00000,00539,00000,00539,00000,   ,00000,                    , ,0791,320,30JAN2020,MSP,0591,PVR,0857,0279
2412,30JAN2020,00539,00677,00000,00539,00000,00539,00000,   ,00000,                    , ,0594,320,30JAN2020,PVR,0928,MSP,1188,0260
0334,11FEB2020,00313,00567,00000,00313,00000,00000,00000,   ,00000,                    ,D,1188,739,11FEB2020,MSP,0773,ATL,0969,0150
0334,11FEB2020,00313,00567,00000,00313,00000,00000,00000,   ,00000,                    , ,2185,738,11FEB2020,ATL,1176,MSP,1272,0163
2308,13FEB2020,00487,00811,00000,00487,00000,00000,00000,   ,00000,                    , ,1415,75D,13FEB2020,MSP,0430,MCO,0708,0218
2308,13FEB2020,00487,00811,00000,00487,00000,00000,00000,   ,00000,                    , ,1058,75D,13FEB2020,MCO,0886,ATL,0978,0101
2308,13FEB2020,00487,00811,00000,00487,00000,00000,00000,   ,00000,                    , ,1934,739,13FEB2020,ATL,1078,MSP,1166,0168
2313,15FEB2020,00589,00724,00000,00589,00000,00589,00000,   ,00000,                    , ,0291,739,15FEB2020,MSP,0432,MBJ,0751,0290
2313,15FEB2020,00589,00724,00000,00589,00000,00589,00000,   ,00000,                    , ,0290,739,15FEB2020,MBJ,0836,MSP,1069,0299
0450,16FEB2020,00584,00807,00000,00584,00000,00000,00000,   ,00000,                    , ,1270,75Y,16FEB2020,MSP,0527,PHX,0683,0218
0450,16FEB2020,00584,00807,00000,00584,00000,00000,00000,   ,00000,                    , ,2365,321,16FEB2020,PHX,0762,ATL,1080,0205
0450,16FEB2020,00584,00807,00000,00584,00000,00000,00000,   ,00000,                    ,D,2185,738,16FEB2020,ATL,1177,MSP,1277,0161
2369,18FEB2020,00588,00727,00000,00588,00000,00588,00000,   ,00000,                    , ,0720,738,18FEB2020,MSP,0533,MBJ,0873,0289
2369,18FEB2020,00588,00727,00000,00588,00000,00588,00000,   ,00000,                    , ,0814,738,18FEB2020,MBJ,0944,MSP,1177,0299
2416,20FEB2020,00397,00504,00000,00397,00000,00000,00000,   ,00000,                    , ,1303,321,20FEB2020,MSP,0855,PHX,0996,0214
2416,20FEB2020,00397,00504,00000,00397,00000,00000,00000,   ,00000,                    , ,1303,321,20FEB2020,PHX,1069,MSP,1289,0183
2449,21FEB2020,00416,00816,00000,00261,00000,00000,00000,BIL,00514,DOUBLETREE BIL      , ,0992,320,21FEB2020,MSP,1207,BIL,1268,0139
2449,21FEB2020,00416,00816,00000,00261,00000,00000,00000,   ,00000,                    , ,2065,320,22FEB2020,BIL,0342,MSP,0511,0122
2477,23FEB2020,00737,02021,00000,00737,00000,00000,00000,   ,00000,                    , ,1991,321,23FEB2020,MSP,0315,ATL,0527,0154
2477,23FEB2020,00737,02021,00000,00737,00000,00000,00000,AUS,01073,HILTON GDN INN DTWN ,D,2958,321,23FEB2020,ATL,0588,AUS,0667,0149
2477,23FEB2020,00737,02021,00000,00737,00000,00000,00000,   ,00000,                    , ,2997,320,24FEB2020,AUS,0367,BOS,0641,0230
2477,23FEB2020,00737,02021,00000,00737,00000,00000,00000,   ,00000,                    , ,2542,320,24FEB2020,BOS,0702,MSP,0826,0204
5803,25FEB2020,00480,00672,00000,00480,00000,00000,00000,   ,00000,                    , ,1464,319,25FEB2020,MSP,0405,DCA,0598,0148
5803,25FEB2020,00480,00672,00000,00480,00000,00000,00000,   ,00000,                    , ,1464,319,25FEB2020,DCA,0656,MSP,0740,0165
5803,25FEB2020,00480,00672,00000,00480,00000,00000,00000,   ,00000,                    , ,0775,319,25FEB2020,MSP,0814,MCI,0889,0086
5803,25FEB2020,00480,00672,00000,00480,00000,00000,00000,   ,00000,                    , ,0775,319,25FEB2020,MCI,0938,MSP,1007,0081
2369,28FEB2020,00603,00746,00000,00603,00000,00603,00000,   ,00000,                    , ,0720,738,28FEB2020,MSP,0533,MBJ,0860,0289
2369,28FEB2020,00603,00746,00000,00603,00000,00603,00000,   ,00000,                    , ,0814,738,28FEB2020,MBJ,0942,MSP,1196,0314
