ROTATION,DATE,TTL ROTN CRED,DOM TAFB,INTL TAFB,FLT PAY,NIGHT PAY,INTL PAY,LANG PAY,LAYOVER STN,LAYOVER TIME,LAYOVER HOTEL,LEG STATUS,FLT #,EQUIP,DEPT DATE,DEPT,DEPT TIME,ARRV,ARRV TIME,LEG BLOCK TIME
2300,02JAN2019,00448,00775,00000,00448,00000,00000,00000,   ,00000,                    , ,2193,739,02JAN2019,MSP,0405,SEA,0496,0241
2300,02JAN2019,00448,00775,00000,00448,00000,00000,00000,   ,00000,                    , ,1235,75D,02JAN2019,SEA,0799,MSP,1110,0207
1015,03JAN2019,01089,00000,02741,01089,00000,01089,00000,AMS,01370,NH AMS NOORD        , ,0162,76Z,03JAN2019,MSP,1264,AMS,0735,0516
1015,03JAN2019,01089,00000,02741,01089,00000,01089,00000,   ,00000,                    , ,0163,76Z,05JAN2019,AMS,0767,MSP,0920,0573
2363,07JAN2019,00427,00562,00000,00427,00000,00000,00000,   ,00000,                    , ,1761,75Y,07JAN2019,MSP,0520,MCO,0767,0213
2363,07JAN2019,00427,00562,00000,00427,00000,00000,00000,   ,00000,                    , ,1761,75Y,07JAN2019,MCO,0865,MSP,1012,0214
2401,08JAN2019,00427,00805,00000,00427,00000,00000,00000,   ,00000,                    , ,2582,M90,08JAN2019,MSP,0535,DEN,0600,0139
2401,08JAN2019,00427,00805,00000,00427,00000,00000,00000,   ,00000,                    , ,2582,M90,08JAN2019,DEN,0665,MSP,0830,0115
2401,08JAN2019,00427,00805,00000,00427,00000,00000,00000,   ,00000,                    , ,1949,739,08JAN2019,MSP,1067,MKE,1141,0089
2401,08JAN2019,00427,00805,00000,00427,00000,00000,00000,   ,00000,                    , ,1949,739,08JAN2019,MKE,1206,MSP,1270,0084
2395,15JAN2019,00469,00799,00000,00469,00000,00000,00000,   ,00000,                    , ,2865,321,15JAN2019,MSP,0541,ATL,0756,0170
2395,15JAN2019,00469,00799,00000,00469,00000,00000,00000,   ,00000,                    , ,1178,739,15JAN2019,ATL,0866,TPA,0938,0087
2395,15JAN2019,00469,00799,00000,00469,00000,00000,00000,   ,00000,                    , ,2057,739,15JAN2019,TPA,1107,MSP,1259,0212
2345,17JAN2019,00506,00796,00000,00506,00000,00000,00000,   ,00000,                    , ,2878,75G,17JAN2019,MSP,0444,ATL,0685,0181
2345,17JAN2019,00506,00796,00000,00506,00000,00000,00000,   ,00000,                    , ,2313,739,17JAN2019,ATL,0854,DEN,0933,0208
2345,17JAN2019,00506,00796,00000,00506,00000,00000,00000,   ,00000,                    , ,2576,739,17JAN2019,DEN,1003,MSP,1166,0117
2389,18JAN2019,00474,00804,00000,00474,00000,00000,00000,   ,00000,                    , ,1504,75D,18JAN2019,MSP,0532,LAX,0632,0254
2389,18JAN2019,00474,00804,00000,00474,00000,00000,00000,   ,00000,                    , ,1380,738,18JAN2019,LAX,0930,MSP,1264,0220
2377,29JAN2019,00513,00661,00000,00513,00000,00513,00000,   ,00000,                    , ,0515,739,29JAN2019,MSP,0536,CUN,0811,0252
